job_name,scenario_id,early_rate,v2v_rate,run_id,status,exit_code,hostname,start_time,end_time,config,run_dir,tripinfo_exists,tripinfo_parse_error,vehicle_count,completion_time,arrival_time_mean,arrival_time_median,arrival_time_p95,duration_mean,duration_median,waiting_time_mean,time_loss_mean,route_length_mean
va_s1_e1.0_v1.0_r11,1,1.0,1.0,11,SUCCESS,0,schubert,2026-07-13T00:11:08+0900,2026-07-13T00:17:23+0900,/home/katagi/vehicle-assistant-system/scenarios/JIP/configs/config_scenario_1.toml,/home/katagi/vehicle-assistant-system/schubert_logs/va_s1_e1.0_v1.0_r11,True,,96,1880.0,1316.770833,1375.0,1780.0,69.427083,32.0,24.041667,43.79875,349.338542
va_s1_e1.0_v1.0_r12,1,1.0,1.0,12,SUCCESS,0,schubert,2026-07-13T00:11:08+0900,2026-07-13T00:17:22+0900,/home/katagi/vehicle-assistant-system/scenarios/JIP/configs/config_scenario_1.toml,/home/katagi/vehicle-assistant-system/schubert_logs/va_s1_e1.0_v1.0_r12,True,,127,1700.0,1219.055118,1240.0,1601.0,49.811024,29.0,16.417323,31.099291,246.850394
va_s1_e1.0_v1.0_r13,1,1.0,1.0,13,SUCCESS,0,schubert,2026-07-13T00:11:08+0900,2026-07-13T00:17:14+0900,/home/katagi/vehicle-assistant-system/scenarios/JIP/configs/config_scenario_1.toml,/home/katagi/vehicle-assistant-system/schubert_logs/va_s1_e1.0_v1.0_r13,True,,136,1790.0,1201.764706,1205.0,1660.0,45.669118,23.0,13.411765,27.142353,252.732426
va_s1_e1.0_v1.0_r14,1,1.0,1.0,14,SUCCESS,0,schubert,2026-07-13T00:11:08+0900,2026-07-13T00:17:32+0900,/home/katagi/vehicle-assistant-system/scenarios/JIP/configs/config_scenario_1.toml,/home/katagi/vehicle-assistant-system/schubert_logs/va_s1_e1.0_v1.0_r14,True,,147,1800.0,1131.768707,1140.0,1660.0,45.346939,28.0,12.823129,26.16068,257.052109
va_s1_e1.0_v1.0_r15,1,1.0,1.0,15,SUCCESS,0,schubert,2026-07-13T00:11:08+0900,2026-07-13T00:17:23+0900,/home/katagi/vehicle-assistant-system/scenarios/JIP/configs/config_scenario_1.toml,/home/katagi/vehicle-assistant-system/schubert_logs/va_s1_e1.0_v1.0_r15,True,,126,1710.0,1229.206349,1260.0,1620.0,55.18254,24.5,18.047619,35.139444,274.492222
va_s1_e1.0_v1.0_r16,1,1.0,1.0,16,SUCCESS,0,schubert,2026-07-13T00:11:08+0900,2026-07-13T00:17:25+0900,/home/katagi/vehicle-assistant-system/scenarios/JIP/configs/config_scenario_1.toml,/home/katagi/vehicle-assistant-system/schubert_logs/va_s1_e1.0_v1.0_r16,True,,136,1870.0,1116.397059,1150.0,1655.0,56.308824,27.5,17.838235,33.298529,312.005
va_s1_e1.0_v1.0_r17,1,1.0,1.0,17,SUCCESS,0,schubert,2026-07-13T00:11:08+0900,2026-07-13T00:17:03+0900,/home/katagi/vehicle-assistant-system/scenarios/JIP/configs/config_scenario_1.toml,/home/katagi/vehicle-assistant-system/schubert_logs/va_s1_e1.0_v1.0_r17,True,,118,1890.0,1258.220339,1160.0,1880.0,57.245763,25.0,18.652542,35.382458,289.957288
va_s1_e1.0_v1.0_r18,1,1.0,1.0,18,SUCCESS,0,schubert,2026-07-13T00:11:08+0900,2026-07-13T00:17:01+0900,/home/katagi/vehicle-assistant-system/scenarios/JIP/configs/config_scenario_1.toml,/home/katagi/vehicle-assistant-system/schubert_logs/va_s1_e1.0_v1.0_r18,True,,139,1700.0,1159.856115,1160.0,1670.0,46.496403,24.0,13.194245,27.519784,258.987986
va_s1_e1.0_v1.0_r19,1,1.0,1.0,19,SUCCESS,0,schubert,2026-07-13T00:11:08+0900,2026-07-13T00:17:13+0900,/home/katagi/vehicle-assistant-system/scenarios/JIP/configs/config_scenario_1.toml,/home/katagi/vehicle-assistant-system/schubert_logs/va_s1_e1.0_v1.0_r19,True,,116,1790.0,1217.068966,1295.0,1670.0,58.939655,30.0,19.086207,36.462241,317.748103
va_s1_e1.0_v1.0_r20,1,1.0,1.0,20,SUCCESS,0,schubert,2026-07-13T00:11:08+0900,2026-07-13T00:17:38+0900,/home/katagi/vehicle-assistant-system/scenarios/JIP/configs/config_scenario_1.toml,/home/katagi/vehicle-assistant-system/schubert_logs/va_s1_e1.0_v1.0_r20,True,,109,1880.0,1207.981651,1250.0,1780.0,63.853211,29.0,21.40367,40.332294,324.627064
va_s1_e1.0_v1.0_r21,1,1.0,1.0,21,SUCCESS,0,schubert,2026-07-13T00:11:08+0900,2026-07-13T00:17:24+0900,/home/katagi/vehicle-assistant-system/scenarios/JIP/configs/config_scenario_1.toml,/home/katagi/vehicle-assistant-system/schubert_logs/va_s1_e1.0_v1.0_r21,True,,112,1870.0,1194.910714,1140.0,1750.0,59.625,32.5,18.732143,36.161875,317.88
va_s1_e1.0_v1.0_r22,1,1.0,1.0,22,SUCCESS,0,schubert,2026-07-13T00:11:08+0900,2026-07-13T00:17:12+0900,/home/katagi/vehicle-assistant-system/scenarios/JIP/configs/config_scenario_1.toml,/home/katagi/vehicle-assistant-system/schubert_logs/va_s1_e1.0_v1.0_r22,True,,136,1790.0,1165.147059,1160.0,1582.5,50.411765,28.5,14.786765,29.853824,278.008015
va_s1_e1.0_v1.0_r23,1,1.0,1.0,23,SUCCESS,0,schubert,2026-07-13T00:11:08+0900,2026-07-13T00:17:38+0900,/home/katagi/vehicle-assistant-system/scenarios/JIP/configs/config_scenario_1.toml,/home/katagi/vehicle-assistant-system/schubert_logs/va_s1_e1.0_v1.0_r23,True,,140,1880.0,1141.357143,1090.0,1700.0,54.392857,27.0,16.242857,32.331286,300.106214
va_s1_e1.0_v1.0_r24,1,1.0,1.0,24,SUCCESS,0,schubert,2026-07-13T00:11:08+0900,2026-07-13T00:17:34+0900,/home/katagi/vehicle-assistant-system/scenarios/JIP/configs/config_scenario_1.toml,/home/katagi/vehicle-assistant-system/schubert_logs/va_s1_e1.0_v1.0_r24,True,,123,1790.0,1235.691057,1250.0,1660.0,60.804878,29.0,21.01626,39.133171,297.715203
va_s1_e1.0_v1.0_r25,1,1.0,1.0,25,SUCCESS,0,schubert,2026-07-13T00:11:08+0900,2026-07-13T00:17:08+0900,/home/katagi/vehicle-assistant-system/scenarios/JIP/configs/config_scenario_1.toml,/home/katagi/vehicle-assistant-system/schubert_logs/va_s1_e1.0_v1.0_r25,True,,142,1790.0,1169.014085,1150.0,1700.0,52.584507,22.5,15.43662,31.454296,293.813169
va_s1_e1.0_v1.0_r26,1,1.0,1.0,26,SUCCESS,0,schubert,2026-07-13T00:17:01+0900,2026-07-13T00:23:02+0900,/home/katagi/vehicle-assistant-system/scenarios/JIP/configs/config_scenario_1.toml,/home/katagi/vehicle-assistant-system/schubert_logs/va_s1_e1.0_v1.0_r26,True,,126,1880.0,1207.222222,1220.0,1660.0,64.325397,34.0,20.031746,39.872698,326.813889
va_s1_e1.0_v1.0_r27,1,1.0,1.0,27,SUCCESS,0,schubert,2026-07-13T00:17:03+0900,2026-07-13T00:23:07+0900,/home/katagi/vehicle-assistant-system/scenarios/JIP/configs/config_scenario_1.toml,/home/katagi/vehicle-assistant-system/schubert_logs/va_s1_e1.0_v1.0_r27,True,,84,1870.0,1344.642857,1330.0,1708.5,68.547619,34.0,23.011905,44.07381,331.625119
va_s1_e1.0_v1.0_r28,1,1.0,1.0,28,SUCCESS,0,schubert,2026-07-13T00:17:05+0900,2026-07-13T00:23:12+0900,/home/katagi/vehicle-assistant-system/scenarios/JIP/configs/config_scenario_1.toml,/home/katagi/vehicle-assistant-system/schubert_logs/va_s1_e1.0_v1.0_r28,True,,117,1790.0,1243.076923,1310.0,1650.0,60.957265,28.0,20.384615,37.737692,309.26
va_s1_e1.0_v1.0_r29,1,1.0,1.0,29,SUCCESS,0,schubert,2026-07-13T00:17:06+0900,2026-07-13T00:23:25+0900,/home/katagi/vehicle-assistant-system/scenarios/JIP/configs/config_scenario_1.toml,/home/katagi/vehicle-assistant-system/schubert_logs/va_s1_e1.0_v1.0_r29,True,,120,1790.0,1238.083333,1240.0,1660.0,52.225,30.0,16.333333,32.871417,264.193
va_s1_e1.0_v1.0_r30,1,1.0,1.0,30,SUCCESS,0,schubert,2026-07-13T00:17:08+0900,2026-07-13T00:23:08+0900,/home/katagi/vehicle-assistant-system/scenarios/JIP/configs/config_scenario_1.toml,/home/katagi/vehicle-assistant-system/schubert_logs/va_s1_e1.0_v1.0_r30,True,,131,1870.0,1217.78626,1160.0,1720.0,45.061069,25.0,14.465649,28.57855,216.49542
